trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.5, 'e': 0.2527533819104281}",25,5,37.07106575641672,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.2489620811817717}",25,0,12.386005708209932,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.24522764996404514}",25,2,27.895683054821507,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.24154923521458446}",25,0,0.8471169330476673,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.2379259966863657}",25,12,19.99768136607692,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.23435710673607021}",20,13,-5.665240778445274,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.23084175013502914}",20,0,19.16327597783522,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.22737912388300371}",35,12,20.441689391584145,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.22396843702475866}",20,0,-41.219085842973506,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.22060891046938727}",20,0,12.589566628256692,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.21729977681234644}",25,3,35.71945738512058,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.21404028016016124}",30,18,14.754806890728682,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.21082967595775884}",25,5,-19.927195144900175,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
